launchTime, launchX, launchY, landTime, landX, landY, FlightTime, Distance
56.820096, 4618.923678, -2038.240925, 57.397065, 4670.246975, -2024.488889, 0.576969, 53.133787
56.820096, 4591.625527, -1998.652816, 57.285969, 4624.070240, -1989.959281, 0.465874, 33.589238
0.000000, 2769.275950, -2938.697676, 0.745829, 2887.120430, -2907.121343, 0.745829, 122.001582
24.197164, 2751.725115, -2844.559712, 25.441226, 2826.999542, -2824.389990, 1.244062, 77.929821
28.015299, 2461.807565, -3075.592177, 28.740955, 2533.416298, -3056.404675, 0.725656, 74.134816
28.015299, 2785.435086, -3034.744304, 29.228603, 2932.779679, -2995.263439, 1.213303, 152.542348
28.015299, 2785.435086, -3034.744304, 28.386035, 2831.484378, -3022.405433, 0.370735, 47.673735
30.737800, 2360.341689, -3093.442703, 31.170455, 2395.318977, -3084.070567, 0.432654, 36.211153
30.737800, 2834.816516, -2977.702588, 31.766470, 2912.664027, -2956.843410, 1.028669, 80.593673
39.488072, 2852.095741, -3023.618987, 39.973026, 2892.083108, -3012.904404, 0.484954, 41.397968
39.488072, 2797.582220, -2896.871652, 39.800468, 2830.145259, -2888.146412, 0.312396, 33.711738
50.679561, 1282.872327, -3666.311839, 51.054072, 1317.250512, -3657.100232, 0.374512, 35.590916
50.679561, 1948.159161, -3834.056040, 51.209504, 1982.898840, -3824.747572, 0.529943, 35.965162
50.679561, 2050.548251, -3832.461274, 51.583541, 2170.064525, -3800.436985, 0.903980, 123.732352
50.381379, 312.521343, -3906.820071, 51.744298, 443.595766, -3871.698786, 1.362919, 135.698228
73.413032, 5498.629101, -1305.315082, 74.115837, 5490.146383, -1358.872855, 0.702805, 54.225377
73.413032, 5933.510236, -1073.788261, 74.621196, 5923.866625, -1134.675625, 1.208164, 61.646333
98.349084, 5501.248121, -1313.593755, 98.671270, 5496.388857, -1344.273936, 0.322186, 31.062613
98.349084, 5705.037051, -1280.144694, 98.998935, 5697.739620, -1326.218861, 0.649850, 46.648487
98.349084, 5782.648739, -1228.928529, 99.300676, 5771.642497, -1298.419206, 0.951592, 70.356887
75.382031, 1964.800176, -3878.304405, 75.919323, 1956.712473, -3929.368156, 0.537292, 51.700267
80.769752, 1433.175996, -3830.302366, 81.642132, 1425.241128, -3880.401146, 0.872380, 50.723268
83.007725, 1613.016621, -3872.960016, 83.452712, 1605.555419, -3920.068191, 0.444986, 47.695384
85.013246, 1624.975046, -3873.912312, 85.460616, 1618.194398, -3916.723640, 0.447369, 43.344976
86.008325, 2062.567552, -3796.687383, 87.108791, 2048.557244, -3885.144985, 1.100467, 89.560238
93.627386, 1420.644657, -3842.116582, 94.130879, 1414.944641, -3878.105070, 0.503493, 36.437089
93.627386, 1714.202042, -3855.615586, 94.373364, 1704.330760, -3917.940408, 0.745978, 63.101709
111.119130, 1549.916850, -3951.329284, 112.018198, 1537.922603, -4027.057975, 0.899068, 76.672659
95.426800, 960.238683, -3802.922488, 95.930440, 954.468367, -3839.354826, 0.503640, 36.886472
82.083025, -231.977646, -3680.596529, 82.545073, -238.324335, -3720.667949, 0.462047, 40.570915
113.773580, -605.239251, -3681.639737, 114.222553, -610.813950, -3716.837003, 0.448972, 35.636004
60.000000, 4670.853549, -2025.702598, 61.100467, 4662.439390, -2078.827504, 1.100467, 53.787115
67.857937, 2178.707367, -3808.933262, 68.427676, 2173.666746, -3840.758491, 0.569739, 32.221934
60.000000, 446.861774, -3872.754318, 60.429360, 441.427202, -3907.066859, 0.429360, 34.740251
70.506744, 437.786034, -3871.806220, 71.833764, 423.326069, -3963.102848, 1.327020, 92.434651
70.506744, 439.563571, -3863.253279, 70.936104, 434.128990, -3897.565877, 0.429360, 34.740308
95.134003, 427.413805, -3871.753977, 95.589513, 422.560133, -3902.398854, 0.455510, 31.026869
120.000000, 5937.777431, -986.799039, 120.478416, 5971.155499, -995.742666, 0.478416, 34.555519
130.931970, 5743.415099, -1329.293359, 131.788550, 5805.449007, -1345.915294, 0.856580, 64.222228
130.931970, 5966.518619, -1037.690306, 132.140134, 6033.012432, -1055.507269, 1.208164, 68.839460
145.989354, 5976.349394, -1039.477170, 146.955867, 6041.571161, -1056.953290, 0.966512, 67.522541
145.989354, 5976.349394, -1039.477170, 146.461233, 6009.859844, -1048.456268, 0.471879, 34.692570
145.989354, 5956.375818, -985.586598, 146.955867, 6020.842543, -1002.860404, 0.966512, 66.740865
159.561852, 5607.107440, -1358.183054, 160.033731, 5655.914937, -1371.260983, 0.471879, 50.529239
173.548870, 5827.402549, -1307.420357, 174.179594, 5902.302785, -1327.489815, 0.630724, 77.542430
173.548870, 5969.603909, -1149.708291, 174.089687, 6004.046204, -1158.937076, 0.540817, 35.657288
173.548870, 5986.347286, -1094.117664, 174.900629, 6068.018402, -1116.001374, 1.351759, 84.552161
120.000000, 4584.257449, -1975.139241, 120.914869, 4670.151532, -1998.154491, 0.914869, 88.924099
120.000000, 2710.279229, -3183.246018, 120.646373, 2775.806025, -3200.803870, 0.646373, 67.838332
120.000000, 2885.685587, -3040.752943, 121.279961, 2966.957534, -3062.529695, 1.279961, 84.138911
132.933325, 2930.055886, -3036.090099, 134.285084, 3011.995674, -3058.045799, 1.351759, 84.830311
