launchTime, launchX, launchY, landTime, landX, landY, FlightTime, Distance
177.854886, -1503.066478, -3453.224482, 178.358527, -1461.711826, -3464.305428, 0.503640, 42.813485
224.281590, -1760.901709, -3505.292868, 224.623880, -1753.250057, -3538.435814, 0.342290, 34.014742
183.094043, -1465.811795, -3453.926107, 183.771807, -1450.048540, -3522.204268, 0.677765, 70.074157
296.809910, -1201.795233, -3450.505736, 297.321111, -1196.223596, -3482.104060, 0.511202, 32.085779
299.421032, -1284.333345, -3467.930462, 299.899993, -1278.981047, -3498.284852, 0.478960, 30.822656
308.129489, -1351.335784, -2847.448185, 308.514432, -1330.310510, -2869.995030, 0.384943, 30.828921
318.202160, -1298.646771, -2779.837614, 318.693524, -1266.183410, -2814.650306, 0.491364, 47.600349
339.833105, -1180.305576, -3477.372137, 340.190764, -1155.687945, -3503.771314, 0.357659, 36.096319
355.027567, -1088.026008, -3466.520452, 355.367201, -1064.543394, -3491.702472, 0.339634, 34.432068
360.000000, -1159.482365, -3271.037359, 360.471252, -1160.180557, -3311.036737, 0.471252, 40.005471
387.070287, -1211.249659, -3178.139393, 388.473085, -1213.003027, -3278.589780, 1.402798, 100.465689
2916.176557, -1319.058354, -2406.576923, 2916.743308, -1261.440224, -2358.229572, 0.566751, 75.215127
3057.392073, -784.992689, -3689.942272, 3058.175350, -724.137278, -3638.878519, 0.783277, 79.441097
3082.897477, -1205.332676, -2177.438827, 3083.406782, -1158.046660, -2137.761149, 0.509306, 61.727510
3156.274012, -1430.238860, -2221.917707, 3156.908481, -1377.138150, -2177.360921, 0.634469, 69.318053
3180.000000, -1155.492054, -2081.925107, 3180.966512, -1089.160624, -2026.266429, 0.966512, 86.589532
3197.397433, -1401.379133, -2176.642209, 3198.009330, -1333.346126, -2119.555738, 0.611897, 88.810783
3233.172397, -1135.260288, -2025.314250, 3233.567181, -1096.151719, -1992.498263, 0.394784, 51.052611
3251.205645, -492.177721, -3707.763612, 3251.739928, -435.225439, -3659.974973, 0.534282, 74.345924
3269.780812, -470.587381, -3677.189779, 3270.093208, -439.024978, -3650.705778, 0.312396, 41.201791
3309.931795, -1440.773799, -2140.335120, 3310.345741, -1395.700631, -2102.514242, 0.413945, 58.838842
3349.838371, -1701.511789, -3709.300146, 3350.220062, -1665.625291, -3679.187799, 0.381692, 46.846495
3353.759936, -1727.715873, -3685.691306, 3354.590613, -1641.052244, -3612.971887, 0.830677, 113.131332
4320.000000, -1669.945281, -3748.392238, 4320.296495, -1641.312269, -3724.366288, 0.296495, 37.377743
4325.832064, -1717.364363, -3734.184004, 4326.108328, -1682.208231, -3704.684507, 0.276264, 45.893071
4340.007012, -1683.986000, -3805.000910, 4340.706109, -1609.317611, -3742.346692, 0.699097, 97.472660
4340.007012, -1435.488460, -2089.514053, 4340.461347, -1390.644547, -2051.885542, 0.454335, 58.539571
4344.474572, -1972.004976, -3509.948636, 4344.813419, -1936.221330, -3479.922592, 0.338847, 46.712232
4357.753737, -1741.866437, -3792.687749, 4358.196401, -1678.321765, -3739.367437, 0.442664, 82.951679
4357.753737, -1974.047830, -3466.677418, 4358.340471, -1901.350857, -3405.677414, 0.586734, 94.899159
4366.773415, -1757.269906, -3805.574224, 4367.085810, -1713.151439, -3768.554435, 0.312396, 57.592568
4414.373515, -1378.458003, -2063.442851, 4414.661955, -1345.870937, -2036.099056, 0.288440, 42.539393
4559.094646, -1433.746768, -2030.823033, 4559.383085, -1394.674638, -1998.037623, 0.288440, 51.005044
4559.094646, -1441.093525, -2388.987082, 4559.493883, -1384.948034, -2341.875421, 0.399238, 73.292734
